PLAYER,TYPE,PRICE PAID,Year
Aniket Choudhary,Bowler,3000000,2018
Pavan Deshpande,All-Rounder,2000000,2018
Anirudha Ashok Joshi,All-Rounder,2000000,2018
Manish Pandey,Batsman,110000000,2018
Rashid Khan Arman,Bowler,90000000,2018
Shikhar Dhawan,Batsman,52000000,2018
Wriddhiman Saha,Wicket Keeper,50000000,2018
Siddarth Kaul,Bowler,38000000,2018
Deepak Hooda,All-Rounder,36000000,2018
Syed Khaleel Ahmed,Bowler,30000000,2018
Sandeep Sharma,Bowler,30000000,2018
Kane Williamson,Batsman,30000000,2018
Carlos Brathwaite,All-Rounder,20000000,2018
Shakib Al Hasan,All-Rounder,20000000,2018
Yusuf Pathan,All-Rounder,19000000,2018
Shreevats Goswami,Wicket Keeper,10000000,2018
Mohammad Nabi,All-Rounder,10000000,2018
Chris Jordan,All-Rounder,10000000,2018
Basil Thampi,Bowler,9500000,2018
Billy Stanlake,Batsman,5000000,2018
T Natarajan,Bowler,4000000,2018
Sachin Baby,Batsman,2000000,2018
Bipul Sharma,All-Rounder,2000000,2018
Syed Mehdi Hasan,All-Rounder,2000000,2018
Ricky Bhui,Batsman,2000000,2018
Tanmay Agarwal,Batsman,2000000,2018
Mohit Sharma,Bowler,37500000,2019
Ruturaj Gaikwad,Batsman,36000000,2019
Colin Ingram,Batsman,1200000,2019
Axar Rajesh Patel,All-Rounder,1200000,2019
Hanuma Vihari,Batsman,1200000,2019
Sherfane Rutherford,All-Rounder,27000000,2019
Ishant Sharma,Bowler,15600000,2019
Keemo Paul,All-Rounder,3000000,2019
Jalaj Saxena,All-Rounder,30000000,2019
Ankush Bains,Wicket Keeper,18000000,2019
Nathu Singh,Bowler,37500000,2019
Bandaru Ayyappa,Bowler,3000000,2019
Varun Chakaravarthy,All-Rounder,60000000,2019
Sam Curran,All-Rounder,27000000,2019
Mohammad Shami,Bowler,24000000,2019
Prabhsimran Singh,Wicket Keeper,6000000,2019
Nicolas Pooran,Wicket Keeper,3000000,2019
Moises Henriques,All-Rounder,43500000,2019
Hardus Viljoen,Bowler,42000000,2019
Darshan Nalkande,All-Rounder,40500000,2019
Sarfaraz Naushad Khan,All-Rounder,24000000,2019
Arshdeep Singh,Bowler,24000000,2019
Agnivesh Ayachi,All-Rounder,12600000,2019
Harpreet Brar,All-Rounder,1200000,2019
M. Ashwin,Bowler,31500000,2019
Carlos Brathwaite,All-Rounder,24000000,2019
Lockie Ferguson,Bowler,18000000,2019
Joe Denly,Batsman,17400000,2019
