PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Jaydev Unadkat,1,11,4,3,1,1.0,3,33.33,0,0,0,0,2019,RR,84000000.0,Bowler
Mohammad Shami,1,14,2,1,1*,1.0,2,50.0,0,0,0,0,2019,PBKS,24000000.0,Bowler
Mohit Sharma,0,1,1,1,0*,0.0,2,0.0,0,0,0,0,2019,CSK,37500000.0,Bowler
Prithvi Raj Yarra,0,2,1,1,0*,0.0,1,0.0,0,0,0,0,2019,KKR,40500000.0,Bowler
Tushar Deshpande,21,5,2,1,20*,21.0,12,175.0,0,0,2,1,2020,DC,37500000.0,Bowler
Jaydev Unadkat,9,7,1,0,9,9.0,13,69.23,0,0,0,0,2020,RR,12600000.0,Bowler
Ravi Bishnoi,7,14,3,2,6*,7.0,12,58.33,0,0,1,0,2020,PBKS,6000000.0,Bowler
Andrew Tye,6,1,1,0,6,6.0,6,100.0,0,0,0,1,2020,RR,18000000.0,Bowler
Kartik Tyagi,4,10,3,2,2*,4.0,6,66.66,0,0,0,0,2020,RR,31500000.0,Bowler
Dale Steyn,1,3,1,1,1*,0.0,2,50.0,0,0,0,0,2020,RCB,6000000.0,Bowler
Sheldon Cottrell,0,6,1,0,0*,0.0,2,0.0,0,0,0,0,2020,PBKS,27000000.0,Bowler
Adam Milne,16,4,3,1,15,8.0,17,94.11,0,0,0,1,2021,MI,1200000.0,Bowler
Chetan Sakariya,16,14,6,1,7,3.2,25,64.0,0,0,2,0,2021,RR,12000000.0,Bowler
Jhye Richardson,15,3,2,0,15,7.5,24,62.5,0,0,2,0,2021,PBKS,6000000.0,Bowler
Mustafizur Rahman,8,14,5,5,8*,0.0,14,57.14,0,0,0,1,2021,RR,10000000.0,Bowler
Harbhajan Singh,4,3,2,2,2*,0.0,4,100.0,0,0,0,0,2021,KKR,6000000.0,Bowler
Nathan Coulter-Nile,4,5,2,0,3,2.0,5,80.0,0,0,0,0,2021,MI,12600000.0,Bowler
Kuldip Yadav,0,1,1,1,0*,0.0,4,0.0,0,0,0,0,2021,RR,2000000.0,Bowler
Piyush Chawla,0,1,1,0,0*,0.0,2,0.0,0,0,0,0,2021,MI,31500000.0,Bowler
Shardul Thakur,120,14,10,2,29*,15.00,87,137.93,0,0,7,7,2022,DC,24000000.0,Bowler
Rahul Chahar,77,13,8,2,25*,12.83,68,113.23,0,0,7,4,2022,PBKS,52500000.0,Bowler
Jaydev Unadkat,59,5,5,2,19*,19.67,37,159.45,0,0,4,3,2022,MI,13000000.0,Bowler
Umesh Yadav,55,12,7,3,21,13.75,40,137.5,0,0,4,4,2022,KKR,20000000.0,Bowler
Kagiso Rabada,48,13,8,3,25,9.60,43,111.62,0,0,5,2,2022,PBKS,92500000.0,Bowler
Kuldeep Yadav,48,14,7,6,16*,48.00,52,92.3,0,0,3,2,2022,DC,9000000.0,Bowler
Trent Boult,40,16,8,6,17*,20.00,29,137.93,0,0,2,1,2022,RR,80000000.0,Bowler
Bhuvneshwar Kumar,24,14,6,3,8,8.00,26,92.3,0,0,3,0,2022,SRH,42000000.0,Bowler
Mohsin Khan,23,9,3,2,13*,23.00,16,143.75,0,0,2,1,2022,LSG,2000000.0,Bowler
Avesh Khan,22,13,4,3,12,22.00,13,169.23,0,0,0,3,2022,LSG,100000000.0,Bowler
Josh Hazlewood,18,12,5,5,7*,-,26,69.23,0,0,1,0,2022,RCB,77500000.0,Bowler
Murugan Ashwin,12,8,5,2,6,4.00,14,85.71,0,0,1,1,2022,MI,16000000.0,Bowler
Shreyas Gopal,9,1,1,1,9*,-,7,128.57,0,0,2,0,2022,SRH,7500000.0,Bowler
Sean Abbott,7,1,1,0,7,7.00,5,140.0,0,0,0,1,2022,SRH,24000000.0,Bowler
Kartik Tyagi,7,2,2,0,7,3.50,6,116.66,0,0,1,0,2022,SRH,40000000.0,Bowler
